estagio,epoca,accuracy,auc,loss,recall,val_accuracy,val_auc,val_loss,val_recall,learning_rate
congelado,1,0.5496909022331238,0.5687309503555298,0.7380502223968506,0.5448785424232483,0.5518134832382202,0.6123358011245728,0.6968977451324463,0.7485714554786682,0.0010000000474974513
congelado,2,0.539229691028595,0.5750453472137451,0.732311487197876,0.5575501322746277,0.5932642221450806,0.6363304257392883,0.6645411252975464,0.37714284658432007,0.0010000000474974513
congelado,3,0.5715644359588623,0.6054171323776245,0.7049573063850403,0.5575501322746277,0.5984455943107605,0.6340690851211548,0.6674399971961975,0.6342856884002686,0.0010000000474974513
congelado,4,0.5810746550559998,0.6213173866271973,0.687100887298584,0.5723336935043335,0.5854922533035278,0.6349356770515442,0.6891365647315979,0.7200000286102295,0.0010000000474974513
congelado,5,0.5991441011428833,0.651013195514679,0.6751407980918884,0.6008448004722595,0.6010362505912781,0.6367907524108887,0.674802303314209,0.6742857098579407,0.0010000000474974513
congelado,6,0.6124584078788757,0.6536476612091064,0.6631086468696594,0.6114044189453125,0.6036269664764404,0.6415978670120239,0.6773432493209839,0.7200000286102295,0.0005000000237487257
congelado,7,0.6276747584342957,0.6683265566825867,0.6540852189064026,0.6114044189453125,0.6113989353179932,0.6415842771530151,0.6728664040565491,0.6800000071525574,0.0005000000237487257
congelado,8,0.6224441528320312,0.661666989326477,0.6570621132850647,0.6378036141395569,0.5932642221450806,0.6371970176696777,0.6723253130912781,0.6342856884002686,0.0005000000237487257
congelado,9,0.6186400651931763,0.6748080849647522,0.6484018564224243,0.6198521852493286,0.6088082790374756,0.6380636096000671,0.6767434477806091,0.6857143044471741,0.0002500000118743628
congelado,10,0.6081787943840027,0.6615276336669922,0.6513999104499817,0.6103484630584717,0.606217622756958,0.641679048538208,0.6682751774787903,0.6114285588264465,0.0002500000118743628
congelado,11,0.6314788460731506,0.674544095993042,0.6470146775245667,0.632523775100708,0.6113989353179932,0.6427894234657288,0.6686882972717285,0.6228571534156799,0.0002500000118743628
congelado,12,0.6305277943611145,0.6780321598052979,0.6462746262550354,0.6451953649520874,0.6010362505912781,0.6420989036560059,0.6743881702423096,0.6800000071525574,0.0001250000059371814
fine-tune,1,0.6157869696617126,0.6680552959442139,0.6492324471473694,0.6282998919487,0.6113989353179932,0.6409207582473755,0.6653110384941101,0.5257142782211304,9.999999747378752e-06
fine-tune,2,0.6329053640365601,0.68254554271698,0.6419380903244019,0.6356916427612305,0.606217622756958,0.6531347632408142,0.6572942137718201,0.4571428596973419,9.999999747378752e-06
fine-tune,3,0.6348074078559875,0.688893735408783,0.6366857290267944,0.6367475986480713,0.5854922533035278,0.648747444152832,0.6758440136909485,0.7200000286102295,9.999999747378752e-06
fine-tune,4,0.6352829337120056,0.6872965097427368,0.6371316313743591,0.6494192481040955,0.6113989353179932,0.6525795459747314,0.6596205830574036,0.46857142448425293,9.999999747378752e-06
fine-tune,5,0.64812171459198,0.7060280442237854,0.6234727501869202,0.6652587056159973,0.6321243643760681,0.6610291004180908,0.6522344946861267,0.5542857050895691,9.999999747378752e-06
fine-tune,6,0.6619115471839905,0.7248266935348511,0.6095179915428162,0.667370617389679,0.6191709637641907,0.6588625907897949,0.6527921557426453,0.5142857432365417,9.999999747378752e-06
fine-tune,7,0.6685687303543091,0.7242485284805298,0.6110185980796814,0.6747624278068542,0.5699481964111328,0.6512796878814697,0.6820926070213318,0.7371428608894348,9.999999747378752e-06
fine-tune,8,0.6495482921600342,0.7165685296058655,0.6129199266433716,0.6515311598777771,0.6139896512031555,0.6645632982254028,0.6615017652511597,0.6800000071525574,9.999999747378752e-06
