estagio,epoca,accuracy,auc,loss,recall,val_accuracy,val_auc,val_loss,val_recall,learning_rate
scratch,1,0.5534949898719788,0.5630967020988464,0.7122277021408081,0.5100317001342773,0.4533678889274597,0.40287068486213684,0.6965575814247131,1.0,9.999999747378752e-05
scratch,2,0.5739420056343079,0.594905436038971,0.6875965595245361,0.5564941763877869,0.4533678889274597,0.41987815499305725,0.7639128565788269,1.0,9.999999747378752e-05
scratch,3,0.5801236033439636,0.6204253435134888,0.6723430156707764,0.5860612392425537,0.4533678889274597,0.4082328975200653,0.9533001780509949,1.0,9.999999747378752e-05
scratch,4,0.5853542685508728,0.6257654428482056,0.6717169880867004,0.5923970341682434,0.4533678889274597,0.4046174883842468,1.0383540391921997,1.0,9.999999747378752e-05
scratch,5,0.6119828820228577,0.6503651142120361,0.6585391163825989,0.604012668132782,0.4533678889274597,0.40640488266944885,1.1495150327682495,1.0,4.999999873689376e-05
scratch,6,0.6191155314445496,0.6648768782615662,0.6495299935340881,0.6145723462104797,0.4533678889274597,0.4038321077823639,1.2451977729797363,1.0,4.999999873689376e-05
scratch,7,0.6229196190834045,0.6672094464302063,0.6483429074287415,0.6737064123153687,0.4533678889274597,0.43813133239746094,1.1677918434143066,1.0,4.999999873689376e-05
scratch,8,0.6143604516983032,0.6614938974380493,0.6510053277015686,0.6409714818000793,0.4533678889274597,0.482735276222229,1.0765713453292847,1.0,2.499999936844688e-05
scratch,9,0.6162624955177307,0.6684014797210693,0.6457708477973938,0.6388595700263977,0.4533678889274597,0.5318889617919922,0.9653886556625366,1.0,2.499999936844688e-05
scratch,10,0.621017575263977,0.6700553297996521,0.6458579897880554,0.6388595700263977,0.4481865167617798,0.6305890679359436,0.8174103498458862,0.9828571677207947,2.499999936844688e-05
scratch,11,0.6238706707954407,0.6844949126243591,0.6365289688110352,0.6747624278068542,0.5,0.6765741109848022,0.7284671068191528,0.9657142758369446,1.249999968422344e-05
scratch,12,0.6257727146148682,0.6821747422218323,0.6395221948623657,0.6726504564285278,0.5621761679649353,0.6875964403152466,0.690757155418396,0.9142857193946838,1.249999968422344e-05
scratch,13,0.6409890651702881,0.6915591955184937,0.6341446042060852,0.6705385446548462,0.6632124185562134,0.6967501640319824,0.6416887044906616,0.7885714173316956,1.249999968422344e-05
scratch,14,0.6300523281097412,0.6931751370429993,0.6317864656448364,0.6768743395805359,0.6010362505912781,0.6869329214096069,0.6691270470619202,0.8514285683631897,1.249999968422344e-05
scratch,15,0.6381359696388245,0.6895852088928223,0.6349091529846191,0.6631467938423157,0.6398963928222656,0.7006770372390747,0.6473667621612549,0.7885714173316956,1.249999968422344e-05
scratch,16,0.6271992325782776,0.6831352114677429,0.6374198198318481,0.6705385446548462,0.6580311059951782,0.7027488350868225,0.6346510648727417,0.7599999904632568,1.249999968422344e-05
scratch,17,0.6338564157485962,0.690028727054596,0.6340721845626831,0.6652587056159973,0.6606217622756958,0.7035342454910278,0.6335399150848389,0.7542856931686401,1.249999968422344e-05
scratch,18,0.6300523281097412,0.6864808201789856,0.633213996887207,0.6800422668457031,0.6476684212684631,0.7084360122680664,0.6336624622344971,0.7314285635948181,1.249999968422344e-05
scratch,19,0.6305277943611145,0.6906416416168213,0.6326743364334106,0.6515311598777771,0.6424870491027832,0.7049154043197632,0.6430522799491882,0.7828571200370789,1.249999968422344e-05
scratch,20,0.6452686786651611,0.7015241980552673,0.6275971531867981,0.6927138566970825,0.6476684212684631,0.706472635269165,0.640232503414154,0.7771428823471069,1.249999968422344e-05
scratch,21,0.6310033202171326,0.6862903833389282,0.6356247067451477,0.6937698125839233,0.6373056769371033,0.704008162021637,0.6417887210845947,0.7599999904632568,6.24999984211172e-06
scratch,22,0.6428911089897156,0.6997785568237305,0.6274411678314209,0.6758183836936951,0.6398963928222656,0.7026811242103577,0.6422069072723389,0.7657142877578735,6.24999984211172e-06
scratch,23,0.6447931528091431,0.7031465768814087,0.6244242191314697,0.6821541786193848,0.6502590775489807,0.702965497970581,0.6380771398544312,0.7599999904632568,6.24999984211172e-06
scratch,24,0.6281502842903137,0.685448169708252,0.6339759230613708,0.6737064123153687,0.6476684212684631,0.7057278156280518,0.6405433416366577,0.7771428823471069,3.12499992105586e-06
scratch,25,0.6376605033874512,0.6987321972846985,0.6270990967750549,0.6906018853187561,0.6321243643760681,0.7064183950424194,0.6397411823272705,0.7485714554786682,3.12499992105586e-06
scratch,26,0.64812171459198,0.7021869421005249,0.6279826760292053,0.6779302954673767,0.6424870491027832,0.7075965404510498,0.6377735733985901,0.7542856931686401,3.12499992105586e-06
