estagio,epoca,accuracy,auc,loss,recall,val_accuracy,val_auc,val_loss,val_recall,learning_rate
scratch,1,0.5794392228126526,0.6132347583770752,0.7007370591163635,0.6094210147857666,0.6082251071929932,0.5973240733146667,0.6883176565170288,0.0,9.999999747378752e-05
scratch,2,0.5826899409294128,0.6394673585891724,0.6673833727836609,0.636898934841156,0.6082251071929932,0.6474902033805847,0.6648305654525757,0.0,9.999999747378752e-05
scratch,3,0.6021942496299744,0.6455528140068054,0.6685943603515625,0.619234561920166,0.6082251071929932,0.6486109495162964,0.6667717099189758,0.0,9.999999747378752e-05
scratch,4,0.6001625061035156,0.6555929780006409,0.6569287776947021,0.6663395762443542,0.6082251071929932,0.6516093015670776,0.7237941026687622,0.0,9.999999747378752e-05
scratch,5,0.6091020107269287,0.6660748720169067,0.6478633284568787,0.688910722732544,0.6082251071929932,0.6569473743438721,0.7128351330757141,0.0,9.999999747378752e-05
scratch,6,0.635107696056366,0.6852037906646729,0.6374056339263916,0.6526005864143372,0.6341991424560547,0.6575077772140503,0.7262533903121948,0.20441989600658417,4.999999873689376e-05
scratch,7,0.6379520297050476,0.7000036835670471,0.6285188794136047,0.707556426525116,0.5974025726318359,0.664566159248352,0.7185466885566711,0.6243094205856323,4.999999873689376e-05
scratch,8,0.6326696276664734,0.6857682466506958,0.6355835199356079,0.6859666109085083,0.5995671153068542,0.6686950325965881,0.7503308653831482,0.6850828528404236,4.999999873689376e-05
scratch,9,0.6383584141731262,0.6948239803314209,0.6277447938919067,0.7006869316101074,0.6168830990791321,0.6902145147323608,0.6671433448791504,0.5856353640556335,2.499999936844688e-05
scratch,10,0.6355140209197998,0.6971695423126221,0.6270696520805359,0.7203140258789062,0.6341991424560547,0.6989048719406128,0.6322926878929138,0.5745856165885925,2.499999936844688e-05
scratch,11,0.6355140209197998,0.7049617767333984,0.6220264434814453,0.7095191478729248,0.6471861600875854,0.7028567790985107,0.6181440949440002,0.519336998462677,2.499999936844688e-05
scratch,12,0.6379520297050476,0.7035928964614868,0.6228247284889221,0.6977428793907166,0.6580086350440979,0.7145651578903198,0.5911644697189331,0.530386745929718,2.499999936844688e-05
scratch,13,0.6294189095497131,0.6971279978752136,0.6261125802993774,0.7330716252326965,0.6536796689033508,0.7134739756584167,0.5892058610916138,0.4475138187408447,2.499999936844688e-05
scratch,14,0.6314506530761719,0.6965212821960449,0.62152099609375,0.707556426525116,0.6601731777191162,0.70711350440979,0.6261845231056213,0.23756906390190125,2.499999936844688e-05
scratch,15,0.6509549021720886,0.7169820666313171,0.611140251159668,0.7526987195014954,0.6298701167106628,0.6865673065185547,0.7061297297477722,0.0883977934718132,2.499999936844688e-05
scratch,16,0.6302316188812256,0.7093973159790039,0.615191638469696,0.7105004787445068,0.6688311696052551,0.7039971351623535,0.606887936592102,0.3480663001537323,2.499999936844688e-05
scratch,17,0.6444534659385681,0.7058887481689453,0.6162923574447632,0.7281648516654968,0.6753246784210205,0.7025029063224792,0.6150859594345093,0.3480663001537323,1.249999968422344e-05
scratch,18,0.6412027478218079,0.7092928290367126,0.6151219606399536,0.738959789276123,0.6688311696052551,0.7025421857833862,0.613939642906189,0.3038673996925354,1.249999968422344e-05
scratch,19,0.6424217820167542,0.717930793762207,0.6116344928741455,0.7222767472267151,0.6623376607894897,0.7071528434753418,0.599273145198822,0.4419889450073242,1.249999968422344e-05
scratch,20,0.6489232182502747,0.720123827457428,0.6059795022010803,0.7281648516654968,0.6688311696052551,0.7027879953384399,0.6188004612922668,0.28729280829429626,6.24999984211172e-06
