estagio,epoca,accuracy,auc,loss,recall,val_accuracy,val_auc,val_loss,val_recall,learning_rate
congelado,1,0.582283616065979,0.6256569027900696,0.724823534488678,0.5966634154319763,0.6558441519737244,0.7365565299987793,0.6065515875816345,0.7569060921669006,0.0010000000474974513
congelado,2,0.6586753129959106,0.7292956113815308,0.6129991412162781,0.6938174962997437,0.7034631967544556,0.7628143429756165,0.5581690669059753,0.4254143536090851,0.0010000000474974513
congelado,3,0.6603006720542908,0.7360367774963379,0.605415940284729,0.690873384475708,0.7056276798248291,0.7765281796455383,0.5393532514572144,0.519336998462677,0.0010000000474974513
congelado,4,0.6724908351898193,0.7558697462081909,0.5847404599189758,0.708537757396698,0.6948052048683167,0.7784157395362854,0.5376350283622742,0.4309392273426056,0.0010000000474974513
congelado,5,0.6814303398132324,0.7617605924606323,0.5818726420402527,0.6967615485191345,0.7164502143859863,0.7873715162277222,0.5501325130462646,0.33701658248901367,0.0010000000474974513
congelado,6,0.6867127418518066,0.7629706263542175,0.5758691430091858,0.7134445309638977,0.7229437232017517,0.7909989953041077,0.5407270193099976,0.3867403268814087,0.0010000000474974513
congelado,7,0.6741161942481995,0.7634235620498657,0.5738369226455688,0.6859666109085083,0.7121211886405945,0.7909793257713318,0.52692711353302,0.5690608024597168,0.0010000000474974513
congelado,8,0.695652186870575,0.7688233852386475,0.5688070058822632,0.7193326950073242,0.7056276798248291,0.79375159740448,0.5270424485206604,0.41436463594436646,0.0010000000474974513
congelado,9,0.7078423500061035,0.7817273139953613,0.5592737793922424,0.7154072523117065,0.7056276798248291,0.7892687916755676,0.5268003940582275,0.5359116196632385,0.0010000000474974513
congelado,10,0.7119057178497314,0.7880750894546509,0.5537958145141602,0.7546614408493042,0.7186146974563599,0.7904976606369019,0.5348615050315857,0.4033149182796478,0.0010000000474974513
congelado,11,0.7029662728309631,0.7810153961181641,0.557754635810852,0.7242394685745239,0.7034631967544556,0.7952360510826111,0.5269803404808044,0.45856353640556335,0.0010000000474974513
congelado,12,0.7009345889091492,0.7834446430206299,0.5522739887237549,0.7193326950073242,0.7337662577629089,0.7959635257720947,0.5315142273902893,0.40883979201316833,0.0010000000474974513
fine-tune,1,0.7037789225578308,0.7828185558319092,0.5519246459007263,0.7301275730133057,0.6991341710090637,0.7942038774490356,0.5275110602378845,0.40883979201316833,9.999999747378752e-06
fine-tune,2,0.695652186870575,0.7836246490478516,0.549142062664032,0.7340530157089233,0.7164502143859863,0.8036707639694214,0.5222534537315369,0.5138121843338013,9.999999747378752e-06
fine-tune,3,0.7208451628684998,0.8055104613304138,0.5312555432319641,0.7497546672821045,0.7034631967544556,0.7894260883331299,0.5424433350563049,0.3480663001537323,9.999999747378752e-06
fine-tune,4,0.718407154083252,0.8077182173728943,0.5242916941642761,0.7487733364105225,0.709956705570221,0.7970154285430908,0.5376080870628357,0.3591160178184509,9.999999747378752e-06
fine-tune,5,0.7322226762771606,0.8177502155303955,0.5153249502182007,0.7556427717208862,0.7207792401313782,0.7982343435287476,0.5195142030715942,0.5524861812591553,9.999999747378752e-06
fine-tune,6,0.7192198038101196,0.8077182769775391,0.5278005599975586,0.726202130317688,0.6991341710090637,0.7903010249137878,0.5358273386955261,0.6519337296485901,9.999999747378752e-06
